Designator,Mid X,Mid Y,Rotation,Layer
C1,98.425,-124.968,0.0,top
C2,141.471,-125.159,0.0,top
C3,118.872,-119.253,180.0,top
C4,81.534,-122.428,0.0,top
C5,67.945,-114.681,180.0,top
D1,106.299,-109.982,180.0,top
D2,132.71,-109.347,0.0,top
D3,141.224,-89.662,180.0,top
D4,94.742,-89.408,0.0,top
J1,82.555,-67.31,270.0,top
Q1,111.506,-119.253,90.0,top
Q2,127.381,-118.969,90.0,top
Q3,80.899,-105.41,180.0,top
Q4,81.163,-114.993,180.0,top
Q5,75.047,-87.826,0.0,top
R1,90.17,-128.778,90.0,top
R2,106.426,-128.905,90.0,top
R3,133.971,-128.969,90.0,top
R4,148.971,-129.032,90.0,top
R5,152.0,-74.0,0.0,top
R6,67.554,-102.163,0.0,top
R7,67.691,-108.204,0.0,top
R8,67.658,-93.045,0.0,top
R9,80.508,-92.906,180.0,top
SW1,140.75,-69.0,180.0,top
SW2,154.0,-87.0,90.0,top
